Disease	Gene	Differential Expression	PB-ROC	PN-ROC
breast cancer	VCL	vs bgc: down, vs negatives: down	0.73	0.73
breast cancer	CD59	vs bgc: up, vs negatives: up	0.68	0.7
breast cancer	DUSP1	vs bgc: down, vs negatives: down	0.76	0.83
breast cancer	COPB2	vs bgc: up, vs negatives: up	0.85	0.7
breast cancer	PCNA	vs bgc: up, vs negatives: down	0.66	0.7
breast cancer	COPE	vs bgc: down, vs negatives: down	0.75	0.78
breast cancer	HNRNPAB	vs bgc: up, vs negatives: up	0.82	0.7
breast cancer	TOP2A	vs bgc: up, vs negatives: up	0.66	0.69
breast cancer	MYL12B	vs bgc: up, vs negatives: down	0.65	0.66
breast cancer	IFI30	vs bgc: up, vs negatives: up	0.66	0.73
breast cancer	MARS	vs bgc: down, vs negatives: down	0.78	0.65
breast cancer	MYH11	vs bgc: down, vs negatives: down	0.73	0.69
breast cancer	FHL1	vs bgc: down, vs negatives: down	0.76	0.76
breast cancer	IRAK1	vs bgc: up, vs negatives: up	0.81	0.76
breast cancer	MTHFD2	vs bgc: up, vs negatives: up	0.74	0.82
breast cancer	COL3A1	vs bgc: up, vs negatives: up	0.79	0.69
breast cancer	MCM6	vs bgc: up, vs negatives: up	0.8	0.68
breast cancer	PPP1R15A	vs bgc: down, vs negatives: down	0.77	0.73
breast cancer	EIF1	vs bgc: down, vs negatives: down	0.78	0.74
breast cancer	SEC24D	vs bgc: down, vs negatives: down	0.69	0.68
breast cancer	COL1A2	vs bgc: up, vs negatives: up	0.81	0.73
breast cancer	MAPRE2	vs bgc: down, vs negatives: down	0.76	0.89
breast cancer	MECP2	vs bgc: down, vs negatives: down	0.79	0.68
breast cancer	CCNB2	vs bgc: up, vs negatives: up	0.84	0.72
breast cancer	P4HA2	vs bgc: up, vs negatives: up	0.85	0.73
breast cancer	ACP2	vs bgc: up, vs negatives: up	0.82	0.73
breast cancer	BIN1	vs bgc: down, vs negatives: down	0.77	0.79
breast cancer	SEMA3B	vs bgc: down, vs negatives: down	0.75	0.65
breast cancer	RB1	vs bgc: down, vs negatives: down	0.84	0.66
breast cancer	TRIM14	vs bgc: up, vs negatives: up	0.79	0.72
breast cancer	AP3M2	vs bgc: up, vs negatives: up	0.7	0.65
breast cancer	TMOD1	vs bgc: down, vs negatives: down	0.72	0.72
breast cancer	PKD2	vs bgc: down, vs negatives: down	0.83	0.69
breast cancer	DNAJB4	vs bgc: down, vs negatives: down	0.75	0.69
breast cancer	MMP9	vs bgc: up, vs negatives: up	0.91	0.7
breast cancer	SPRY2	vs bgc: down, vs negatives: down	0.68	0.71
breast cancer	GSTM4	vs bgc: down, vs negatives: down	0.73	0.68
breast cancer	EDNRB	vs bgc: down, vs negatives: up	0.65	0.73
breast cancer	FARS2	vs bgc: down, vs negatives: down	0.78	0.65
breast cancer	KBTBD11	vs bgc: down, vs negatives: down	0.75	0.79
breast cancer	COL11A1	vs bgc: up, vs negatives: up	0.84	0.69
breast cancer	GOLIM4	vs bgc: down, vs negatives: down	0.79	0.68
breast cancer	APOC1	vs bgc: up, vs negatives: up	0.83	0.67
breast cancer	FGF2	vs bgc: down, vs negatives: down	0.78	0.68
breast cancer	CXCL10	vs bgc: up, vs negatives: up	0.89	0.76
breast cancer	RAB40B	vs bgc: down, vs negatives: down	0.79	0.7
breast cancer	HLF	vs bgc: down, vs negatives: up	0.67	0.65
breast cancer	RRAD	vs bgc: down, vs negatives: down	0.81	0.76
breast cancer	TOP3A	vs bgc: down, vs negatives: down	0.71	0.67
breast cancer	CDK5R1	vs bgc: down, vs negatives: down	0.71	0.7
breast cancer	ARHGAP26	vs bgc: down, vs negatives: down	0.77	0.8
breast cancer	ZNF7	vs bgc: up, vs negatives: up	0.88	0.67
breast cancer	BCL10	vs bgc: up, vs negatives: up	0.82	0.73
breast cancer	SRP19	vs bgc: down, vs negatives: down	0.81	0.82
breast cancer	ZC3H11A	vs bgc: up, vs negatives: up	0.77	0.65
breast cancer	TMED9	vs bgc: up, vs negatives: up	0.8	0.77
breast cancer	MYOM2	vs bgc: down, vs negatives: down	0.75	0.7
breast cancer	COL10A1	vs bgc: up, vs negatives: up	0.89	0.74
breast cancer	PAK2	vs bgc: down, vs negatives: down	0.74	0.68
breast cancer	ADAMDEC1	vs bgc: up, vs negatives: up	0.91	0.69
breast cancer	FZD5	vs bgc: down, vs negatives: down	0.8	0.74
breast cancer	TPPP	vs bgc: down, vs negatives: down	0.65	0.69
breast cancer	HOXC4	vs bgc: up, vs negatives: up	0.77	0.79
breast cancer	ZNF239	vs bgc: up, vs negatives: up	0.74	0.83
breast cancer	TGFBR2	vs bgc: down, vs negatives: down	0.82	0.75
breast cancer	P4HA1	vs bgc: up, vs negatives: up	0.86	0.7
breast cancer	RFC1	vs bgc: down, vs negatives: down	0.91	0.74
breast cancer	HOXA3	vs bgc: down, vs negatives: down	0.75	0.66
breast cancer	GABARAPL1	vs bgc: down, vs negatives: down	0.72	0.71
breast cancer	TOP1	vs bgc: up, vs negatives: up	0.67	0.77
breast cancer	CLNS1A	vs bgc: up, vs negatives: up	0.75	0.72
breast cancer	HIGD2A	vs bgc: down, vs negatives: down	0.8	0.77
breast cancer	TAF11	vs bgc: up, vs negatives: up	0.65	0.65
breast cancer	ITGA7	vs bgc: down, vs negatives: down	0.7	0.7
breast cancer	GART	vs bgc: down, vs negatives: down	0.65	0.67
breast cancer	MAPK13	vs bgc: up, vs negatives: up	0.81	0.71
breast cancer	TEF	vs bgc: down, vs negatives: down	0.78	0.79
breast cancer	ITPK1	vs bgc: down, vs negatives: down	0.68	0.8
breast cancer	FN1	vs bgc: up, vs negatives: up	0.72	0.65
breast cancer	PDCD10	vs bgc: up, vs negatives: down	0.66	0.77
breast cancer	SORBS1	vs bgc: down, vs negatives: down	0.72	0.72
breast cancer	ALDH1A1	vs bgc: down, vs negatives: down	0.67	0.75
breast cancer	MCM3AP	vs bgc: down, vs negatives: down	0.73	0.82
breast cancer	SULF1	vs bgc: up, vs negatives: up	0.79	0.69
breast cancer	MFAP4	vs bgc: down, vs negatives: down	0.65	0.66
breast cancer	SYNM	vs bgc: down, vs negatives: down	0.76	0.74
breast cancer	LRRC15	vs bgc: up, vs negatives: up	0.84	0.77
breast cancer	TPM3	vs bgc: down, vs negatives: down	0.76	0.76
breast cancer	PDE12	vs bgc: down, vs negatives: down	0.75	0.66
breast cancer	TCEA1	vs bgc: up, vs negatives: up	0.85	0.71
breast cancer	PERP	vs bgc: up, vs negatives: up	0.77	0.76
breast cancer	CNDP2	vs bgc: up, vs negatives: up	0.86	0.66
breast cancer	POLDIP2	vs bgc: up, vs negatives: up	0.65	0.73
breast cancer	ARL8B	vs bgc: up, vs negatives: up	0.74	0.75
breast cancer	ZFAND3	vs bgc: up, vs negatives: up	0.72	0.67
breast cancer	DCTPP1	vs bgc: up, vs negatives: up	0.65	0.82
breast cancer	AP1M2	vs bgc: up, vs negatives: up	0.74	0.76
breast cancer	DROSHA	vs bgc: up, vs negatives: down	0.65	0.69
breast cancer	SPATS2	vs bgc: up, vs negatives: up	0.7	0.68
breast cancer	TIMM8B	vs bgc: up, vs negatives: up	0.86	0.72
breast cancer	OAS3	vs bgc: up, vs negatives: up	0.78	0.69
breast cancer	TOR3A	vs bgc: up, vs negatives: up	0.83	0.77
breast cancer	BBS1	vs bgc: up, vs negatives: up	0.73	0.67
breast cancer	ENY2	vs bgc: up, vs negatives: up	0.87	0.72
breast cancer	PARP12	vs bgc: up, vs negatives: up	0.66	0.71
breast cancer	JMJD4	vs bgc: up, vs negatives: up	0.72	0.76
breast cancer	HOXC10	vs bgc: up, vs negatives: up	0.78	0.77
breast cancer	PELI2	vs bgc: down, vs negatives: down	0.77	0.72
breast cancer	TGS1	vs bgc: up, vs negatives: up	0.79	0.68
breast cancer	TRIM68	vs bgc: down, vs negatives: down	0.84	0.69
breast cancer	PHF20L1	vs bgc: down, vs negatives: down	0.78	0.65
breast cancer	TDP1	vs bgc: up, vs negatives: up	0.88	0.69
breast cancer	CLIP4	vs bgc: down, vs negatives: down	0.79	0.68
breast cancer	C2orf54	vs bgc: up, vs negatives: up	0.84	0.69
breast cancer	THADA	vs bgc: up, vs negatives: up	0.83	0.69
breast cancer	IL17B	vs bgc: down, vs negatives: down	0.88	0.65
breast cancer	ARPC5L	vs bgc: up, vs negatives: up	0.83	0.73
breast cancer	DCAKD	vs bgc: down, vs negatives: down	0.83	0.79
breast cancer	C1orf21	vs bgc: down, vs negatives: down	0.73	0.66
breast cancer	ADAMTS12	vs bgc: up, vs negatives: up	0.8	0.71
breast cancer	DENR	vs bgc: up, vs negatives: up	0.8	0.75
breast cancer	GINS2	vs bgc: up, vs negatives: up	0.66	0.66
breast cancer	CLEC7A	vs bgc: up, vs negatives: up	0.81	0.7
breast cancer	ZNF764	vs bgc: up, vs negatives: up	0.65	0.77
lung squamous cell carcinoma	DDR1	vs bgc: up, vs negatives: up	0.66	0.66
lung squamous cell carcinoma	PSMB2	vs bgc: up, vs negatives: up	0.77	0.69
lung squamous cell carcinoma	TAF10	vs bgc: up, vs negatives: up	0.7	0.66
lung squamous cell carcinoma	TMEM59	vs bgc: up, vs negatives: up	0.66	0.7
lung squamous cell carcinoma	WARS	vs bgc: up, vs negatives: down	0.66	0.7
lung squamous cell carcinoma	XBP1	vs bgc: up, vs negatives: up	0.73	0.67
lung squamous cell carcinoma	PGK1	vs bgc: up, vs negatives: up	0.78	0.73
lung squamous cell carcinoma	RPS15A	vs bgc: up, vs negatives: up	0.67	0.71
lung squamous cell carcinoma	ZNF207	vs bgc: up, vs negatives: up	0.79	0.7
lung squamous cell carcinoma	CTSB	vs bgc: up, vs negatives: up	0.76	0.74
lung squamous cell carcinoma	CALR	vs bgc: up, vs negatives: up	0.71	0.75
lung squamous cell carcinoma	ALDOA	vs bgc: up, vs negatives: up	0.68	0.66
lung squamous cell carcinoma	ACTA2	vs bgc: up, vs negatives: up	0.66	0.65
lung squamous cell carcinoma	ACTR3	vs bgc: up, vs negatives: up	0.68	0.69
lung squamous cell carcinoma	CKAP4	vs bgc: up, vs negatives: up	0.81	0.74
lung squamous cell carcinoma	SSR4	vs bgc: up, vs negatives: up	0.75	0.86
lung squamous cell carcinoma	PFKP	vs bgc: up, vs negatives: up	0.76	0.68
lung squamous cell carcinoma	PSMC2	vs bgc: up, vs negatives: up	0.73	0.7
lung squamous cell carcinoma	COPB2	vs bgc: up, vs negatives: up	0.8	0.71
lung squamous cell carcinoma	NFE2L2	vs bgc: up, vs negatives: up	0.66	0.71
lung squamous cell carcinoma	IDH1	vs bgc: up, vs negatives: up	0.74	0.7
lung squamous cell carcinoma	CSTB	vs bgc: up, vs negatives: up	0.75	0.82
lung squamous cell carcinoma	ENO1	vs bgc: up, vs negatives: up	0.67	0.74
lung squamous cell carcinoma	SPCS2	vs bgc: up, vs negatives: up	0.76	0.75
lung squamous cell carcinoma	TXNRD1	vs bgc: up, vs negatives: up	0.77	0.69
lung squamous cell carcinoma	HNRNPAB	vs bgc: up, vs negatives: up	0.75	0.65
lung squamous cell carcinoma	SDC1	vs bgc: up, vs negatives: up	0.66	0.7
lung squamous cell carcinoma	TOP2A	vs bgc: up, vs negatives: up	0.67	0.69
lung squamous cell carcinoma	COPB1	vs bgc: up, vs negatives: up	0.71	0.7
lung squamous cell carcinoma	CSNK2B	vs bgc: up, vs negatives: up	0.66	0.65
lung squamous cell carcinoma	SOX4	vs bgc: up, vs negatives: up	0.73	0.69
lung squamous cell carcinoma	CLDN4	vs bgc: up, vs negatives: up	0.72	0.72
lung squamous cell carcinoma	ELF3	vs bgc: up, vs negatives: up	0.7	0.76
lung squamous cell carcinoma	PSMA3	vs bgc: up, vs negatives: up	0.76	0.7
lung squamous cell carcinoma	FHL1	vs bgc: down, vs negatives: down	0.67	0.66
lung squamous cell carcinoma	PPP4R1	vs bgc: up, vs negatives: up	0.65	0.8
lung squamous cell carcinoma	ACP1	vs bgc: up, vs negatives: up	0.71	0.66
lung squamous cell carcinoma	KRT19	vs bgc: up, vs negatives: up	0.71	0.78
lung squamous cell carcinoma	TIMP1	vs bgc: up, vs negatives: up	0.78	0.86
lung squamous cell carcinoma	POLR2B	vs bgc: up, vs negatives: up	0.77	0.65
lung squamous cell carcinoma	COL3A1	vs bgc: up, vs negatives: up	0.81	0.71
lung squamous cell carcinoma	MPZL1	vs bgc: up, vs negatives: up	0.74	0.8
lung squamous cell carcinoma	CEACAM5	vs bgc: up, vs negatives: up	0.79	0.71
lung squamous cell carcinoma	CPD	vs bgc: up, vs negatives: up	0.66	0.74
lung squamous cell carcinoma	SDHC	vs bgc: up, vs negatives: up	0.69	0.69
lung squamous cell carcinoma	ST14	vs bgc: up, vs negatives: up	0.77	0.68
lung squamous cell carcinoma	MAN2A2	vs bgc: down, vs negatives: down	0.65	0.69
lung squamous cell carcinoma	CHPF	vs bgc: up, vs negatives: up	0.66	0.72
lung squamous cell carcinoma	LSS	vs bgc: down, vs negatives: down	0.65	0.65
lung squamous cell carcinoma	CYB5R1	vs bgc: up, vs negatives: up	0.66	0.67
lung squamous cell carcinoma	COL1A2	vs bgc: up, vs negatives: up	0.77	0.71
lung squamous cell carcinoma	ERCC5	vs bgc: down, vs negatives: down	0.67	0.66
lung squamous cell carcinoma	SLC35B1	vs bgc: up, vs negatives: up	0.65	0.77
lung squamous cell carcinoma	CYP1B1	vs bgc: up, vs negatives: up	0.71	0.74
lung squamous cell carcinoma	CTSK	vs bgc: up, vs negatives: up	0.75	0.75
lung squamous cell carcinoma	CRABP2	vs bgc: up, vs negatives: up	0.71	0.74
lung squamous cell carcinoma	RANBP3	vs bgc: down, vs negatives: down	0.68	0.68
lung squamous cell carcinoma	GTF2A2	vs bgc: up, vs negatives: up	0.73	0.72
lung squamous cell carcinoma	CCNB2	vs bgc: up, vs negatives: up	0.77	0.68
lung squamous cell carcinoma	CAD	vs bgc: up, vs negatives: up	0.68	0.71
lung squamous cell carcinoma	GFPT1	vs bgc: up, vs negatives: up	0.65	0.73
lung squamous cell carcinoma	ACP2	vs bgc: up, vs negatives: up	0.7	0.68
lung squamous cell carcinoma	SPINT1	vs bgc: up, vs negatives: up	0.69	0.76
lung squamous cell carcinoma	GPX2	vs bgc: up, vs negatives: up	0.74	0.73
lung squamous cell carcinoma	FUCA1	vs bgc: up, vs negatives: up	0.7	0.72
lung squamous cell carcinoma	CNPY2	vs bgc: up, vs negatives: up	0.68	0.73
lung squamous cell carcinoma	POP4	vs bgc: up, vs negatives: up	0.66	0.72
lung squamous cell carcinoma	ATP5J2	vs bgc: up, vs negatives: up	0.79	0.68
lung squamous cell carcinoma	TXNDC9	vs bgc: up, vs negatives: up	0.75	0.68
lung squamous cell carcinoma	COG2	vs bgc: up, vs negatives: up	0.73	0.7
lung squamous cell carcinoma	THBS2	vs bgc: up, vs negatives: up	0.77	0.71
lung squamous cell carcinoma	PAN2	vs bgc: down, vs negatives: down	0.76	0.69
lung squamous cell carcinoma	GATM	vs bgc: down, vs negatives: up	0.68	0.65
lung squamous cell carcinoma	MTFR1	vs bgc: up, vs negatives: up	0.66	0.67
lung squamous cell carcinoma	EZH1	vs bgc: down, vs negatives: down	0.65	0.65
lung squamous cell carcinoma	CDH3	vs bgc: up, vs negatives: up	0.69	0.78
lung squamous cell carcinoma	SAFB2	vs bgc: down, vs negatives: down	0.73	0.68
lung squamous cell carcinoma	LAD1	vs bgc: up, vs negatives: up	0.73	0.66
lung squamous cell carcinoma	COL5A1	vs bgc: up, vs negatives: up	0.65	0.68
lung squamous cell carcinoma	TIMM17B	vs bgc: up, vs negatives: up	0.7	0.68
lung squamous cell carcinoma	PCF11	vs bgc: down, vs negatives: down	0.72	0.71
lung squamous cell carcinoma	MMD	vs bgc: up, vs negatives: up	0.73	0.65
lung squamous cell carcinoma	CDK10	vs bgc: down, vs negatives: down	0.72	0.67
lung squamous cell carcinoma	BCL2	vs bgc: down, vs negatives: down	0.65	0.77
lung squamous cell carcinoma	ZNF263	vs bgc: up, vs negatives: down	0.68	0.68
lung squamous cell carcinoma	EMP3	vs bgc: up, vs negatives: down	0.66	0.65
lung squamous cell carcinoma	C5orf22	vs bgc: up, vs negatives: up	0.68	0.7
lung squamous cell carcinoma	HMGB3	vs bgc: up, vs negatives: up	0.7	0.72
lung squamous cell carcinoma	CEACAM6	vs bgc: up, vs negatives: up	0.71	0.81
lung squamous cell carcinoma	BLVRA	vs bgc: up, vs negatives: up	0.67	0.71
lung squamous cell carcinoma	MMP11	vs bgc: up, vs negatives: up	0.75	0.67
lung squamous cell carcinoma	TCEA2	vs bgc: down, vs negatives: down	0.77	0.66
lung squamous cell carcinoma	MMP9	vs bgc: up, vs negatives: up	0.79	0.77
lung squamous cell carcinoma	TAF1C	vs bgc: down, vs negatives: down	0.77	0.65
lung squamous cell carcinoma	CLCN6	vs bgc: down, vs negatives: down	0.72	0.65
lung squamous cell carcinoma	FCGR3A	vs bgc: up, vs negatives: up	0.68	0.66
lung squamous cell carcinoma	KDELR3	vs bgc: up, vs negatives: up	0.65	0.71
lung squamous cell carcinoma	MZF1	vs bgc: down, vs negatives: down	0.75	0.65
lung squamous cell carcinoma	MMP7	vs bgc: up, vs negatives: up	0.73	0.71
lung squamous cell carcinoma	PIM2	vs bgc: up, vs negatives: up	0.65	0.7
lung squamous cell carcinoma	PET112	vs bgc: down, vs negatives: down	0.72	0.68
lung squamous cell carcinoma	COL11A1	vs bgc: up, vs negatives: up	0.8	0.69
lung squamous cell carcinoma	S100P	vs bgc: up, vs negatives: up	0.67	0.7
lung squamous cell carcinoma	CLP1	vs bgc: up, vs negatives: up	0.67	0.69
lung squamous cell carcinoma	APEX2	vs bgc: up, vs negatives: up	0.71	0.74
lung squamous cell carcinoma	FGF2	vs bgc: down, vs negatives: down	0.66	0.67
lung squamous cell carcinoma	CSTF2	vs bgc: up, vs negatives: up	0.65	0.67
lung squamous cell carcinoma	MMP1	vs bgc: up, vs negatives: up	0.75	0.71
lung squamous cell carcinoma	BRPF1	vs bgc: down, vs negatives: down	0.65	0.68
lung squamous cell carcinoma	CXCL10	vs bgc: up, vs negatives: up	0.76	0.68
lung squamous cell carcinoma	RAPGEF1	vs bgc: down, vs negatives: down	0.78	0.66
lung squamous cell carcinoma	MMP12	vs bgc: up, vs negatives: up	0.81	0.7
lung squamous cell carcinoma	VCAN	vs bgc: up, vs negatives: up	0.69	0.75
lung squamous cell carcinoma	FOXA1	vs bgc: up, vs negatives: up	0.68	0.7
lung squamous cell carcinoma	KCNK1	vs bgc: up, vs negatives: up	0.72	0.67
lung squamous cell carcinoma	IFT88	vs bgc: down, vs negatives: down	0.68	0.66
lung squamous cell carcinoma	ALDOB	vs bgc: down, vs negatives: up	0.75	0.69
lung squamous cell carcinoma	DSC2	vs bgc: up, vs negatives: up	0.67	0.65
lung squamous cell carcinoma	VSIG4	vs bgc: up, vs negatives: up	0.66	0.7
lung squamous cell carcinoma	CP	vs bgc: up, vs negatives: up	0.78	0.73
lung squamous cell carcinoma	PTPRN	vs bgc: down, vs negatives: up	0.65	0.65
lung squamous cell carcinoma	GPR162	vs bgc: down, vs negatives: down	0.74	0.68
lung squamous cell carcinoma	SLC26A2	vs bgc: up, vs negatives: down	0.67	0.66
lung squamous cell carcinoma	VRK2	vs bgc: up, vs negatives: up	0.76	0.66
lung squamous cell carcinoma	HCAR3	vs bgc: up, vs negatives: up	0.65	0.69
lung squamous cell carcinoma	EPM2A	vs bgc: down, vs negatives: down	0.74	0.84
lung squamous cell carcinoma	CXCL13	vs bgc: up, vs negatives: up	0.8	0.7
lung squamous cell carcinoma	PEX13	vs bgc: up, vs negatives: up	0.68	0.68
lung squamous cell carcinoma	ACYP1	vs bgc: down, vs negatives: down	0.65	0.68
lung squamous cell carcinoma	POU2AF1	vs bgc: up, vs negatives: up	0.74	0.7
lung squamous cell carcinoma	APC2	vs bgc: down, vs negatives: down	0.65	0.66
lung squamous cell carcinoma	GAMT	vs bgc: down, vs negatives: down	0.67	0.65
lung squamous cell carcinoma	PLAU	vs bgc: up, vs negatives: up	0.68	0.78
lung squamous cell carcinoma	EXOG	vs bgc: down, vs negatives: down	0.74	0.68
lung squamous cell carcinoma	PPP2R2B	vs bgc: down, vs negatives: up	0.67	0.71
lung squamous cell carcinoma	MDM4	vs bgc: down, vs negatives: down	0.69	0.75
lung squamous cell carcinoma	CYP27B1	vs bgc: up, vs negatives: up	0.71	0.7
lung squamous cell carcinoma	CD38	vs bgc: up, vs negatives: up	0.77	0.71
lung squamous cell carcinoma	AFF3	vs bgc: down, vs negatives: down	0.72	0.65
lung squamous cell carcinoma	AKAP7	vs bgc: down, vs negatives: down	0.68	0.82
lung squamous cell carcinoma	NOVA1	vs bgc: down, vs negatives: up	0.7	0.66
lung squamous cell carcinoma	TMED9	vs bgc: up, vs negatives: up	0.75	0.76
lung squamous cell carcinoma	MYOM2	vs bgc: down, vs negatives: down	0.65	0.68
lung squamous cell carcinoma	UBD	vs bgc: up, vs negatives: up	0.8	0.7
lung squamous cell carcinoma	COL10A1	vs bgc: up, vs negatives: up	0.87	0.75
lung squamous cell carcinoma	TDO2	vs bgc: up, vs negatives: up	0.76	0.66
lung squamous cell carcinoma	MMP13	vs bgc: up, vs negatives: up	0.72	0.69
lung squamous cell carcinoma	TNXB	vs bgc: down, vs negatives: down	0.66	0.75
lung squamous cell carcinoma	ZNF135	vs bgc: down, vs negatives: down	0.69	0.68
lung squamous cell carcinoma	SCML2	vs bgc: down, vs negatives: down	0.65	0.68
lung squamous cell carcinoma	TAL1	vs bgc: down, vs negatives: down	0.76	0.65
lung squamous cell carcinoma	ITIH4	vs bgc: down, vs negatives: down	0.69	0.68
lung squamous cell carcinoma	IL2RA	vs bgc: up, vs negatives: up	0.8	0.74
lung squamous cell carcinoma	RARRES1	vs bgc: up, vs negatives: up	0.66	0.66
lung squamous cell carcinoma	NOVA2	vs bgc: down, vs negatives: down	0.75	0.7
lung squamous cell carcinoma	AIM2	vs bgc: up, vs negatives: up	0.74	0.76
lung squamous cell carcinoma	TNFRSF17	vs bgc: up, vs negatives: up	0.69	0.66
lung squamous cell carcinoma	ASMT	vs bgc: down, vs negatives: down	0.76	0.68
lung squamous cell carcinoma	SEMA3A	vs bgc: up, vs negatives: up	0.67	0.68
lung squamous cell carcinoma	CALM2	vs bgc: up, vs negatives: up	0.73	0.69
lung squamous cell carcinoma	TCF15	vs bgc: down, vs negatives: down	0.71	0.65
lung squamous cell carcinoma	PTGES	vs bgc: up, vs negatives: up	0.68	0.69
lung squamous cell carcinoma	DDO	vs bgc: down, vs negatives: down	0.71	0.65
lung squamous cell carcinoma	P4HA1	vs bgc: up, vs negatives: up	0.79	0.65
lung squamous cell carcinoma	CD46	vs bgc: up, vs negatives: up	0.65	0.81
lung squamous cell carcinoma	CASK	vs bgc: up, vs negatives: up	0.74	0.66
lung squamous cell carcinoma	WBSCR22	vs bgc: up, vs negatives: up	0.74	0.66
lung squamous cell carcinoma	CACNB2	vs bgc: down, vs negatives: up	0.65	0.71
lung squamous cell carcinoma	NEUROG3	vs bgc: down, vs negatives: down	0.74	0.67
lung squamous cell carcinoma	LSR	vs bgc: up, vs negatives: up	0.66	0.71
lung squamous cell carcinoma	P2RY6	vs bgc: up, vs negatives: up	0.75	0.71
lung squamous cell carcinoma	GABRD	vs bgc: down, vs negatives: down	0.65	0.66
lung squamous cell carcinoma	FUT2	vs bgc: up, vs negatives: up	0.72	0.66
lung squamous cell carcinoma	GRIK4	vs bgc: down, vs negatives: down	0.67	0.68
lung squamous cell carcinoma	XRCC5	vs bgc: up, vs negatives: up	0.68	0.71
lung squamous cell carcinoma	CCT5	vs bgc: up, vs negatives: up	0.68	0.69
lung squamous cell carcinoma	SAP18	vs bgc: down, vs negatives: down	0.66	0.66
lung squamous cell carcinoma	THY1	vs bgc: up, vs negatives: up	0.72	0.65
lung squamous cell carcinoma	BECN1	vs bgc: up, vs negatives: up	0.75	0.69
lung squamous cell carcinoma	RBM10	vs bgc: down, vs negatives: down	0.66	0.65
lung squamous cell carcinoma	UCP2	vs bgc: up, vs negatives: up	0.65	0.65
lung squamous cell carcinoma	TM9SF1	vs bgc: up, vs negatives: up	0.66	0.73
lung squamous cell carcinoma	AGR2	vs bgc: up, vs negatives: up	0.7	0.74
lung squamous cell carcinoma	KLF5	vs bgc: up, vs negatives: up	0.65	0.65
lung squamous cell carcinoma	SFN	vs bgc: up, vs negatives: up	0.74	0.79
lung squamous cell carcinoma	SH2B1	vs bgc: down, vs negatives: down	0.76	0.67
lung squamous cell carcinoma	TSC1	vs bgc: down, vs negatives: down	0.66	0.73
lung squamous cell carcinoma	EIF4E2	vs bgc: up, vs negatives: up	0.65	0.66
lung squamous cell carcinoma	VTI1B	vs bgc: up, vs negatives: up	0.66	0.67
lung squamous cell carcinoma	GPM6A	vs bgc: down, vs negatives: down	0.68	0.73
lung squamous cell carcinoma	PPAP2C	vs bgc: up, vs negatives: up	0.65	0.7
lung squamous cell carcinoma	MXRA5	vs bgc: up, vs negatives: up	0.73	0.69
lung squamous cell carcinoma	HABP4	vs bgc: down, vs negatives: down	0.71	0.76
lung squamous cell carcinoma	PKP3	vs bgc: up, vs negatives: up	0.65	0.67
lung squamous cell carcinoma	SPP1	vs bgc: up, vs negatives: up	0.82	0.7
lung squamous cell carcinoma	LAT	vs bgc: down, vs negatives: down	0.68	0.68
lung squamous cell carcinoma	RIT1	vs bgc: up, vs negatives: up	0.66	0.72
lung squamous cell carcinoma	RIPK1	vs bgc: up, vs negatives: down	0.66	0.65
lung squamous cell carcinoma	CDC37	vs bgc: up, vs negatives: down	0.71	0.68
lung squamous cell carcinoma	FAP	vs bgc: up, vs negatives: up	0.79	0.77
lung squamous cell carcinoma	MAPK13	vs bgc: up, vs negatives: up	0.72	0.78
lung squamous cell carcinoma	CCL19	vs bgc: up, vs negatives: up	0.76	0.68
lung squamous cell carcinoma	IGFBP3	vs bgc: up, vs negatives: up	0.7	0.77
lung squamous cell carcinoma	ATP5H	vs bgc: up, vs negatives: up	0.74	0.66
lung squamous cell carcinoma	PEX2	vs bgc: up, vs negatives: up	0.69	0.65
lung squamous cell carcinoma	FLT4	vs bgc: down, vs negatives: down	0.68	0.67
lung squamous cell carcinoma	TP53I3	vs bgc: up, vs negatives: up	0.66	0.66
lung squamous cell carcinoma	SPINT2	vs bgc: up, vs negatives: up	0.7	0.8
lung squamous cell carcinoma	POSTN	vs bgc: up, vs negatives: up	0.79	0.67
lung squamous cell carcinoma	ZNF493	vs bgc: down, vs negatives: down	0.65	0.75
lung squamous cell carcinoma	ERG	vs bgc: down, vs negatives: up	0.67	0.67
lung squamous cell carcinoma	SORBS1	vs bgc: down, vs negatives: down	0.67	0.72
lung squamous cell carcinoma	HSPA5	vs bgc: up, vs negatives: up	0.66	0.67
lung squamous cell carcinoma	SUGP2	vs bgc: down, vs negatives: down	0.74	0.7
lung squamous cell carcinoma	SMARCB1	vs bgc: up, vs negatives: up	0.75	0.65
lung squamous cell carcinoma	SULF1	vs bgc: up, vs negatives: up	0.8	0.73
lung squamous cell carcinoma	MOAP1	vs bgc: down, vs negatives: down	0.69	0.69
lung squamous cell carcinoma	LCN2	vs bgc: up, vs negatives: up	0.66	0.69
lung squamous cell carcinoma	ZDHHC18	vs bgc: up, vs negatives: up	0.67	0.65
lung squamous cell carcinoma	SLC38A10	vs bgc: up, vs negatives: up	0.69	0.65
lung squamous cell carcinoma	SLC30A1	vs bgc: up, vs negatives: up	0.73	0.65
lung squamous cell carcinoma	RNF19B	vs bgc: up, vs negatives: up	0.68	0.72
lung squamous cell carcinoma	ATPAF2	vs bgc: down, vs negatives: down	0.66	0.66
lung squamous cell carcinoma	SRSF8	vs bgc: up, vs negatives: up	0.7	0.68
